Dot centers and radii:
494: -124.708 -77.65 1.375
495: -117.779 -81.65 1.375
496: -124.708 -85.65 1.375
497: -117.779 -89.65 1.375
498: -124.708 -93.65 1.375
499: -117.779 -97.65 1.375
500: -124.708 -101.65 1.375
501: -117.779 -105.65 1.375
502: -124.708 -109.65 1.375
503: -117.779 -113.65 1.375
504: -124.708 -117.65 1.375
505: -117.779 -121.65 1.375
506: -124.708 -125.65 1.375
507: -117.779 -129.65 1.375
508: -124.708 -133.65 1.375
509: -117.779 -137.65 1.375
510: -124.708 -141.65 1.375
511: -117.779 -145.65 1.375
512: -124.708 -149.65 1.375
513: -117.779 -153.65 1.375
514: -131.636 78.35 1.375
515: -138.564 74.35 1.375
516: -131.636 70.35 1.375
517: -138.564 66.35 1.375
518: -131.636 62.35 1.375
519: -138.564 58.35 1.375
520: -131.636 54.35 1.375
521: -138.564 50.35 1.375
522: -131.636 46.35 1.375
523: -138.564 42.35 1.375
524: -131.636 38.35 1.375
525: -138.564 34.35 1.375
526: -131.636 30.35 1.375
527: -138.564 26.35 1.375
528: -131.636 22.35 1.375
529: -138.564 18.35 1.375
530: -131.636 14.35 1.375
531: -138.564 10.35 1.375
532: -131.636 6.35 1.375
533: -138.564 2.35 1.375
534: -131.636 -1.65 1.375
535: -138.564 -5.65 1.375
536: -131.636 -9.65 1.375
537: -138.564 -13.65 1.375
538: -131.636 -17.65 1.375
539: -138.564 -21.65 1.375
540: -131.636 -25.65 1.375
541: -138.564 -29.65 1.375
542: -131.636 -33.65 1.375
543: -138.564 -37.65 1.375
544: -131.636 -41.65 1.375
545: -138.564 -45.65 1.375
546: -131.636 -49.65 1.375
547: -138.564 -53.65 1.375
548: -131.636 -57.65 1.375
549: -138.564 -61.65 1.375
550: -131.636 -65.65 1.375
551: -138.564 -69.65 1.375
552: -131.636 -73.65 1.375
553: -138.564 -77.65 1.375
554: -131.636 -81.65 1.375
555: -138.564 -85.65 1.375
556: -131.636 -89.65 1.375
557: -138.564 -93.65 1.375
558: -131.636 -97.65 1.375
559: -138.564 -101.65 1.375
560: -131.636 -105.65 1.375
561: -138.564 -109.65 1.375
562: -131.636 -113.65 1.375
563: -138.564 -117.65 1.375
564: -131.636 -121.65 1.375
565: -138.564 -125.65 1.375
566: -131.636 -129.65 1.375
567: -138.564 -133.65 1.375
568: -131.636 -137.65 1.375
569: -138.564 -141.65 1.375
570: -131.636 -145.65 1.375
571: -145.492 86.35 1.375
572: -152.42 82.35 1.375
573: -145.492 78.35 1.375
574: -152.42 74.35 1.375
575: -145.492 70.35 1.375
576: -152.42 66.35 1.375
577: -145.492 62.35 1.375
578: -152.42 58.35 1.375
579: -145.492 54.35 1.375
580: -152.42 50.35 1.375
581: -145.492 46.35 1.375
582: -152.42 42.35 1.375
583: -145.492 38.35 1.375
584: -152.42 34.35 1.375
585: -145.492 30.35 1.375
586: -152.42 26.35 1.375
587: -145.492 22.35 1.375
588: -152.42 18.35 1.375
589: -145.492 14.35 1.375
590: -152.42 10.35 1.375
591: -145.492 6.35 1.375
592: -152.42 2.35 1.375
593: -145.492 -1.65 1.375
594: -152.42 -5.65 1.375
595: -145.492 -9.65 1.375
596: -152.42 -13.65 1.375
597: -145.492 -17.65 1.375
598: -152.42 -21.65 1.375
599: -145.492 -25.65 1.375
600: -152.42 -29.65 1.375
601: -145.492 -33.65 1.375
602: -152.42 -37.65 1.375
603: -145.492 -41.65 1.375
604: -152.42 -45.65 1.375
605: -145.492 -49.65 1.375
606: -152.42 -53.65 1.375
607: -145.492 -57.65 1.375
608: -152.42 -61.65 1.375
609: -145.492 -65.65 1.375
610: -152.42 -69.65 1.375
611: -145.492 -73.65 1.375
612: -152.42 -77.65 1.375
613: -145.492 -81.65 1.375
614: -152.42 -85.65 1.375
615: -145.492 -89.65 1.375
616: -152.42 -93.65 1.375
617: -145.492 -97.65 1.375
618: -152.42 -101.65 1.375
619: -145.492 -105.65 1.375
620: -152.42 -109.65 1.375
621: -145.492 -113.65 1.375
622: -152.42 -117.65 1.375
623: -145.492 -121.65 1.375
624: -152.42 -125.65 1.375
625: -145.492 -129.65 1.375
626: -152.42 -133.65 1.375
627: -145.492 -137.65 1.375
628: -159.349 94.35 1.375
629: -166.277 90.35 1.375
630: -159.349 86.35 1.375
