Fiber centers:
1043: 6.9282 68
1044: 6.9282 76
1045: 0 72
1046: 0 80
1047: -6.9282 76
1048: -6.9282 84
1049: -13.8564 80
1050: -13.8564 88
1051: -20.7846 84
1052: -20.7846 92
1053: -27.7128 88
1054: -27.7128 96
1055: -34.641 92
1056: -34.641 100
1057: -41.5692 96
1058: -41.5692 104
1059: -48.4974 100
1060: -48.4974 108
1061: -55.4256 104
1062: -55.4256 112
1063: -62.3538 108
1064: -62.3538 116
1065: -69.282 112
1066: -69.282 120
1067: -76.2102 116
1068: -76.2102 124
1069: -83.1384 120
1070: -83.1384 128
1071: -90.0666 124
1072: -90.0666 132
1073: -96.9948 128
1074: -96.9948 136
1075: -103.923 132
1076: -103.923 140
1077: -110.851 136
1078: -110.851 144
1079: -117.779 140
1080: -117.779 148
1081: -124.708 144
1082: -124.708 152
1083: -131.636 148
1084: 76.2102 44
1085: 76.2102 52
1086: 69.282 48
1087: 69.282 56
1088: 62.3538 52
1089: 62.3538 60
1090: 55.4256 56
1091: 55.4256 64
1092: 48.4974 60
1093: 48.4974 68
1094: 41.5692 64
1095: 41.5692 72
1096: 34.641 68
1097: 34.641 76
1098: 27.7128 72
1099: 27.7128 80
1100: 20.7846 76
1101: 20.7846 84
1102: 13.8564 80
1103: 13.8564 88
1104: 6.9282 84
1105: 6.9282 92
1106: 0 88
1107: 0 96
1108: -6.9282 92
1109: -6.9282 100
1110: -13.8564 96
1111: -13.8564 104
1112: -20.7846 100
1113: -20.7846 108
1114: -27.7128 104
1115: -27.7128 112
1116: -34.641 108
1117: -34.641 116
1118: -41.5692 112
1119: -41.5692 120
1120: -48.4974 116
1121: -48.4974 124
1122: -55.4256 120
1123: -55.4256 128
1124: -62.3538 124
1125: -62.3538 132
1126: -69.282 128
1127: -69.282 136
1128: -76.2102 132
1129: -76.2102 140
1130: -83.1384 136
1131: -83.1384 144
1132: -90.0666 140
1133: -90.0666 148
1134: -96.9948 144
1135: -96.9948 152
1136: -103.923 148
1137: -103.923 156
1138: -110.851 152
1139: -110.851 160
1140: -117.779 156
1141: 90.0666 52
1142: 90.0666 60
1143: 83.1384 56
1144: 83.1384 64
1145: 76.2102 60
1146: 76.2102 68
1147: 69.282 64
1148: 69.282 72
1149: 62.3538 68
1150: 62.3538 76
1151: 55.4256 72
1152: 55.4256 80
1153: 48.4974 76
1154: 48.4974 84
1155: 41.5692 80
1156: 41.5692 88
1157: 34.641 84
1158: 34.641 92
1159: 27.7128 88
1160: 27.7128 96
1161: 20.7846 92
1162: 20.7846 100
1163: 13.8564 96
1164: 13.8564 104
1165: 6.9282 100
1166: 6.9282 108
1167: 0 104
1168: 0 112
1169: -6.9282 108
1170: -6.9282 116
1171: -13.8564 112
1172: -13.8564 120
1173: -20.7846 116
1174: -20.7846 124
1175: -27.7128 120
1176: -27.7128 128
1177: -34.641 124
1178: -34.641 132
1179: -41.5692 128
1180: -41.5692 136
1181: -48.4974 132
1182: -48.4974 140
1183: -55.4256 136
1184: -55.4256 144
1185: -62.3538 140
1186: -62.3538 148
1187: -69.282 144
1188: -69.282 152
1189: -76.2102 148
1190: -76.2102 156
1191: -83.1384 152
1192: -83.1384 160
1193: -90.0666 156
1194: -90.0666 164
1195: -96.9948 160
1196: -96.9948 168
1197: -103.923 164
1198: 103.923 60
1199: 103.923 68
1200: 96.9948 64
1201: 96.9948 72
1202: 90.0666 68
1203: 90.0666 76
1204: 83.1384 72
1205: 83.1384 80
1206: 76.2102 76
1207: 76.2102 84
1208: 69.282 80
1209: 69.282 88
1210: 62.3538 84
1211: 62.3538 92
1212: 55.4256 88
1213: 55.4256 96
1214: 48.4974 92
1215: 48.4974 100
1216: 41.5692 96
1217: 41.5692 104
1218: 34.641 100
1219: 34.641 108
1220: 27.7128 104
1221: 27.7128 112
1222: 20.7846 108
1223: 20.7846 116
1224: 13.8564 112
1225: 13.8564 120
1226: 6.9282 116
1227: 6.9282 124
1228: 0 120
1229: 0 128
1230: -6.9282 124
1231: -6.9282 132
1232: -13.8564 128
1233: -13.8564 136
1234: -20.7846 132
1235: -20.7846 140
1236: -27.7128 136
1237: -27.7128 144
1238: -34.641 140
1239: -34.641 148
1240: -41.5692 144
1241: -41.5692 152
1242: -48.4974 148
1243: -48.4974 156
1244: -55.4256 152
1245: -55.4256 160
1246: -62.3538 156
1247: -62.3538 164
1248: -69.282 160
1249: -69.282 168
1250: -76.2102 164
1251: -76.2102 172
1252: -83.1384 168
1253: -83.1384 176
1254: -90.0666 172
1255: 117.779 68
1256: 117.779 76
1257: 110.851 72
1258: 110.851 80
1259: 103.923 76
1260: 103.923 84
1261: 96.9948 80
1262: 96.9948 88
1263: 90.0666 84
1264: 90.0666 92
1265: 83.1384 88
1266: 83.1384 96
1267: 76.2102 92
1268: 76.2102 100
1269: 69.282 96
1270: 69.282 104
1271: 62.3538 100
1272: 62.3538 108
1273: 55.4256 104
1274: 55.4256 112
1275: 48.4974 108
1276: 48.4974 116
1277: 41.5692 112
1278: 41.5692 120
1279: 34.641 116
1280: 34.641 124
1281: 27.7128 120
1282: 27.7128 128
1283: 20.7846 124
1284: 20.7846 132
1285: 13.8564 128
1286: 13.8564 136
1287: 6.9282 132
1288: 6.9282 140
1289: 0 136
1290: 0 144
1291: -6.9282 140
1292: -6.9282 148
1293: -13.8564 144
1294: -13.8564 152
1295: -20.7846 148
1296: -20.7846 156
1297: -27.7128 152
1298: -27.7128 160
1299: -34.641 156
1300: -34.641 164
1301: -41.5692 160
1302: -41.5692 168
1303: -48.4974 164
1304: -48.4974 172
1305: -55.4256 168
1306: -55.4256 176
1307: -62.3538 172
1308: -62.3538 180
1309: -69.282 176
1310: -69.282 184
1311: -76.2102 180
1312: 131.636 76
1313: 131.636 84
1314: 124.708 80
1315: 124.708 88
1316: 117.779 84
1317: 117.779 92
1318: 110.851 88
1319: 110.851 96
1320: 103.923 92
1321: 103.923 100
1322: 96.9948 96
1323: 96.9948 104
1324: 90.0666 100
1325: 90.0666 108
1326: 83.1384 104
1327: 83.1384 112
1328: 76.2102 108
1329: 76.2102 116
1330: 69.282 112
1331: 69.282 120
1332: 62.3538 116
1333: 62.3538 124
1334: 55.4256 120
1335: 55.4256 128
1336: 48.4974 124
1337: 48.4974 132
1338: 41.5692 128
1339: 41.5692 136
1340: 34.641 132
1341: 34.641 140
1342: 27.7128 136
1343: 27.7128 144
1344: 20.7846 140
1345: 20.7846 148
1346: 13.8564 144
1347: 13.8564 152
